S.No.,State,Total Cluster(s),Total Artisans / SHGs,Product(s)
1,Andhra Pradesh,29,18405 / 741,2060
2,Arunachal Pradesh,6,1141 / 65,216
3,Assam,46,14914 / 946,2365
4,Bihar,6,1447 / 104,178
5,Chhattisgarh,8,4185 / 375,391
6,Delhi,13,9364 / 416,602
7,Goa,1,223 / 13,19
8,Gujarat,121,35183 / 2326,6054
9,Haryana,21,1586 / 139,764
10,Himachal Pradesh,23,929 / 178,550
11,Jammu & Kashmir,51,10933 / 877,1968
12,Jharkhand,18,6809 / 490,692
13,Karnataka,19,12218 / 1081,1168
14,Kerala,11,10979 / 5253,605
15,Madhya Pradesh,67,5784 / 430,3110
16,Maharashtra,18,2142 / 152,886
17,Manipur,32,9107 / 580,1330
18,Meghalaya,4,648 / 45,36
19,Mizoram,2,435 / 33,22
20,Nagaland,6,2409 / 132,474
21,Orissa,35,10572 / 735,1811
22,Punjab,11,5892 / 256,432
23,Rajasthan,18,2485 / 192,813
24,Sikkim,2,531 / 32,52
25,Tamil Nadu,14,4042 / 175,744
26,Tripura,17,6270 / 514,860
27,Uttar Pradesh,96,20256 / 1441,5145
28,Uttarkhand,20,2488 / 202,901
29,West Bengal,29,10306 / 655,1064
,Total,744,211683/18578,35312
